index,load,APX,clouds,radiation,temp,winddeg,windspeed,windspeed_100m,pressure,humidity,rain,mxlD,snowDepth,clearSky_ulf,clearSky_dlf,sjv_E1A,sjv_E1B,sjv_E1C,sjv_E2A,sjv_E2B,sjv_E3A,sjv_E3B,sjv_E3C,sjv_E3D,sjv_E4A
2020-10-28 09:15:00+00:00,8.636666666666667,39.15,100.0,365733.9609375,11.34149169921875,287.00513458251953,4.231249999999999,11.856454372406006,100665.875,0.8573034852743149,0.4925,1529.795654296875,0.0,6.7626965045928955,11.078864097595215,2.738e-05,2.688e-05,2.638e-05,3.44e-05,3.416e-05,5.161e-05,4.474e-05,4.474e-05,3.059e-05,0.0
2020-10-28 09:30:00+00:00,7.8133333333333335,39.15,100.0,376252.5625,11.120330810546875,288.1397247314453,4.3180555555555555,11.789410591125488,100679.078125,0.8519875705242157,0.485,1580.016357421875,0.0,6.6525397300720215,11.10770034790039,2.658e-05,2.569e-05,2.543e-05,3.389e-05,3.345e-05,5.237e-05,4.471e-05,4.471e-05,3.056e-05,0.0
2020-10-28 09:45:00+00:00,6.886666666666668,39.15,100.0,465756.296875,10.899169921875,289.2743148803711,4.404861111111112,11.72236680984497,100692.28125,0.8466716557741165,0.47750000000000004,1630.237060546875,0.0,6.5423829555511475,11.136536598205566,2.574e-05,2.461e-05,2.41e-05,3.36e-05,3.3e-05,5.318e-05,4.475e-05,4.475e-05,3.055e-05,0.0
2020-10-28 10:00:00+00:00,6.49,36.0,100.0,555260.03125,10.678009033203125,290.4089050292969,4.491666666666667,11.655323028564453,100705.484375,0.8413557410240173,0.47000000000000003,1680.457763671875,0.0,6.432226181030273,11.165372848510742,2.497e-05,2.355e-05,2.317e-05,3.368e-05,3.295e-05,5.37e-05,4.486e-05,4.486e-05,3.037e-05,0.0
2020-10-28 10:15:00+00:00,6.276666666666666,36.0,99.9786376953125,644763.765625,10.739555358886719,290.9094543457031,4.572222222222223,11.821589231491089,100701.115234375,0.844865158200264,0.465,1679.0034790039062,0.0,6.498295783996582,11.515119791030884,2.465e-05,2.3e-05,2.267e-05,3.36e-05,3.275e-05,5.384e-05,4.496e-05,4.496e-05,3.023e-05,0.0
2020-10-28 10:30:00+00:00,6.323333333333334,36.0,99.957275390625,734267.5,10.801101684570312,291.4100036621094,4.652777777777778,11.987855434417725,100696.74609375,0.8483745753765106,0.45999999999999996,1677.5491943359375,0.0,6.564365386962891,11.864866733551025,2.479e-05,2.294e-05,2.281e-05,3.357e-05,3.263e-05,5.401e-05,4.499e-05,4.499e-05,3.036e-05,0.0
2020-10-28 10:45:00+00:00,9.52,36.0,99.9359130859375,733372.25,10.862648010253906,291.9105529785156,4.7333333333333325,12.15412163734436,100692.376953125,0.8518839925527573,0.45499999999999996,1676.0949096679688,0.0,6.630434989929199,12.214613676071167,2.506e-05,2.308e-05,2.298e-05,3.347e-05,3.244e-05,5.376e-05,4.493e-05,4.493e-05,3.049e-05,0.0
2020-10-28 11:00:00+00:00,13.386666666666667,31.11,99.91455078125,732477.0,10.9241943359375,292.4111022949219,4.813888888888888,12.320387840270996,100688.0078125,0.8553934097290039,0.44999999999999996,1674.640625,0.0,6.696504592895508,12.564360618591309,2.528e-05,2.314e-05,2.327e-05,3.332e-05,3.221e-05,5.31e-05,4.5e-05,4.5e-05,3.045e-05,0.0
2020-10-28 11:15:00+00:00,12.719999999999999,31.11,99.9359130859375,731581.75,10.7860107421875,289.47509002685547,4.882638888888888,12.034907341003418,100681.26171875,0.8711671084165573,0.49749999999999994,1685.8916015625,0.0,6.522293329238892,12.444894075393677,2.552e-05,2.339e-05,2.326e-05,3.311e-05,3.194e-05,5.163e-05,4.491e-05,4.491e-05,3.037e-05,0.0
2020-10-28 11:30:00+00:00,6.859999999999999,31.11,99.957275390625,730686.5,10.6478271484375,286.53907775878906,4.951388888888888,11.74942684173584,100674.515625,0.8869408071041107,0.5449999999999999,1697.142578125,0.0,6.348082065582275,12.325427532196045,2.591e-05,2.387e-05,2.333e-05,3.267e-05,3.146e-05,4.964e-05,4.472e-05,4.472e-05,3.03e-05,0.0
